respondent_id,submitted,Tutorial Class,Degree,Year,Programming Experience,Experience in Pyhton,Jupyter Notebooks,Other Programming Languages Competency,SQL Competency,Relational Databases Competency,Students' Expectation
1,2018-03-13 23:41:57 UTC,Lab Room 115?,BSc Computer Science,1,3,Basic understanding,No,"C#,Java,Javascript/ECMAScript,Matlab",Written some SQL queries already.,"Microsoft SQL Server,MySQL",
2,2018-03-13 23:10:15 UTC,"Monday 4 p.m. to 6 p.m., weeks 2-13 of semester 1 in SIT Lab 118",BSc Computer Science+Economics,1,1.5,None,No,"C,Java,Other (answer below in comment)","Heard of it, but never used it.",,Bash
3,2018-03-13 23:08:58 UTC,12-14 pm tuesday,BSc Applied Math,3,0.5,Basic understanding,Yes,"Matlab,R",Never heard of SQL.,,
4,2018-03-13 17:30:41 UTC,Tue 12pm,BSc Computer Science,4,3,None,No,R,Written some SQL queries already.,PostgreSQL,
5,2018-03-13 09:37:31 UTC,,BSc Computer Science,1,,,,"C,Java,Javascript/ECMAScript,Matlab",Can interpret some SQL statements.,,
6,2018-03-13 04:14:01 UTC,T14B,BSc Computer Science,1,1,Basic understanding,No,Visual Basic,Can interpret some SQL statements.,SQLite,Would like to learn about analysing datasets and representing them visually.
7,2018-03-13 04:09:45 UTC,sit116 2pm- 4pm,BSc Advanced Computing+Commerce,2,1,Competent Python programmer (familiar with eg. functions and classes),Yes,"Java,Matlab,R",Never heard of SQL.,Other (answer as comment below),
8,2018-03-13 03:45:04 UTC,T14C,BSc Information Studies,3,1,None,No,R,"Heard of it, but never used it.",,
9,2018-03-13 03:33:44 UTC,T14C,BSc Economics+Data Science+International Affair,3,0.5,None,No,Other (answer below in comment),Written some SQL queries already.,"Microsoft Access,SQLite",I know basic R.
10,2018-03-13 03:33:09 UTC,T14A,BSc Information Technology,3,4,Written some simple Python programs,No,"C,Java",Written some SQL queries already.,PostgreSQL,
11,2018-03-13 03:17:19 UTC,T14C,BSc Computer Science,3,10,None,No,Java,Can already create tables and write complex SQL queries.,"Microsoft Access,Microsoft SQL Server,Oracle,PostgreSQL",
12,2018-03-13 03:16:32 UTC,T14C,BSc Computer Science,2,1,Basic understanding,No,Java,Can interpret some SQL statements.,PostgreSQL,
13,2018-03-13 03:15:51 UTC,114,BSc Information Science,1,2,None,No,"Java,Javascript/ECMAScript,Ruby",Can interpret some SQL statements.,MySQL,
14,2018-03-13 03:15:41 UTC,T14B,BSc Computer Science,2,1,None,No,"Java,R","Heard of it, but never used it.",MySQL,"I have never learnt Python and SQL, and knew very little about the database.

I would like to learn basic knowledge of python and SQL. Well, I need much help."
15,2018-03-13 03:13:48 UTC,T14C,BSc Computer Science,2,1,None,No,Java,"Heard of it, but never used it.",,
16,2018-03-13 03:13:47 UTC,T14C,BSc Computer Science,1,1,Basic understanding,No,R,"Heard of it, but never used it.",,"I expect to learn how to use SQL, and Python for data analysis"
17,2018-03-13 03:13:37 UTC,C,BSc Computer Science,1,3,Have written complex Python programs already.,No,"Java,Javascript/ECMAScript,R",Can already create tables and write complex SQL queries.,"MySQL,PostgreSQL",
18,2018-03-13 03:13:30 UTC,T14C,BSc Computer Science,3,3,Competent Python programmer (familiar with eg. functions and classes),No,"C,C++,Java,Javascript/ECMAScript,Matlab,Other (answer below in comment)",Written some SQL queries already.,"Microsoft Access,MySQL,PostgreSQL",HTML language
